PLAYER,TEAM,G,FPTS,SNAPS,AIRY,AIRY/A,CMP AIRY,ACC 0-10,ACC 11-20,ACC OVR 21
"Josh Allen","Buffalo Bills",17,410.6,1081,4585,7.9,2263,0.842,0.652,0.561
"Jalen Hurts","Philadelphia Eagles",17,371.8,1069,4284,8,2136,0.814,0.696,0.442
"Dak Prescott","Dallas Cowboys",17,351.8,1060,4430,7.5,2507,0.822,0.748,0.623
"Lamar Jackson","Baltimore Ravens",16,338.2,992,3711,8.1,1892,0.789,0.684,0.46
"Jordan Love","Green Bay Packers",17,330.1,1044,4603,7.9,2184,0.809,0.635,0.438
"Brock Purdy","San Francisco 49ers",16,306.6,899,3454,7.8,2191,0.79,0.667,0.7
"Jared Goff","Detroit Lions",17,303.1,1137,3935,6.5,2367,0.785,0.635,0.618
"Patrick Mahomes","Kansas City Chiefs",16,294.2,1000,3600,6,1580,0.842,0.667,0.451
"Tua Tagovailoa","Miami Dolphins",17,284.4,1004,4180,7.5,2399,0.777,0.7,0.571
"Baker Mayfield","Tampa Bay Buccaneers",17,284.1,1048,4705,8.3,2046,0.821,0.632,0.327
"C.J. Stroud","Houston Texans",15,281,934,4231,8.5,2319,0.782,0.65,0.478
"Trevor Lawrence","Jacksonville Jaguars",16,278.5,1005,4387,7.8,2145,0.796,0.635,0.537
"Sam Howell","Seattle Seahawks",17,276.5,1021,4164,6.8,1897,0.783,0.594,0.382
"Russell Wilson","Pittsburgh Steelers",15,264.9,892,2964,6.6,1327,0.839,0.623,0.489
"Matthew Stafford","Los Angeles Rams",15,254.1,959,3785,7.3,2017,0.767,0.529,0.488
"Derek Carr","New Orleans Saints",17,249.1,952,4022,7.3,2146,0.845,0.639,0.51
"Justin Herbert","Los Angeles Chargers",13,241.2,800,3411,7.5,1543,0.826,0.657,0.522
"Justin Fields","Pittsburgh Steelers",13,237.2,803,2735,7.4,1276,0.784,0.6,0.487
"Geno Smith","Seattle Seahawks",15,236.3,858,3444,6.9,1886,0.813,0.651,0.5
"Joshua Dobbs","San Francisco 49ers",13,210.7,809,3089,7.4,1424,0.806,0.656,0.433
"Gardner Minshew","Las Vegas Raiders",16,205.2,932,3431,7,1702,0.737,0.613,0.341
"Desmond Ridder","Arizona Cardinals",15,187.1,822,2983,7.7,1577,0.762,0.6,0.485
"Bryce Young","Carolina Panthers",16,166.4,1020,3545,6.7,1521,0.758,0.574,0.368
"Kirk Cousins","Atlanta Falcons",8,158.7,486,2165,7,1305,0.795,0.697,0.556
"Joe Burrow","Cincinnati Bengals",10,153.2,580,2242,6.1,1060,0.805,0.727,0.545
"Kyler Murray","Arizona Cardinals",8,151.4,516,1833,6.8,782,0.796,0.474,0.5
"Jake Browning","Cincinnati Bengals",9,151.4,453,1474,6.1,801,0.819,0.653,0.667
"Aidan O'Connell","Las Vegas Raiders",11,132.8,627,2353,6.9,1112,0.767,0.673,0.375
"Zach Wilson","Denver Broncos",12,126.9,660,2602,7.1,1150,0.776,0.491,0.467
"Mac Jones","Jacksonville Jaguars",11,120.4,614,2312,6.7,876,0.792,0.69,0.333
"Kenny Pickett","Philadelphia Eagles",12,114.2,643,2142,6.6,997,0.798,0.619,0.5
"Joe Flacco","Indianapolis Colts",5,108.8,334,1770,8.7,907,0.789,0.578,0.619
"Will Levis","Tennessee Titans",9,108,507,2597,10.2,1034,0.772,0.578,0.532
"Tommy DeVito","New York Giants",9,96.5,395,1031,5.8,503,0.8,0.542,0.429
"Deshaun Watson","Cleveland Browns",6,90.8,370,1462,8.5,595,0.757,0.548,0.4
"Tyrod Taylor","New York Jets",11,90.3,352,1427,7.9,736,0.8,0.579,0.5
"Ryan Tannehill","",10,87,477,1748,7.6,792,0.817,0.632,0.52
"Bailey Zappe","New England Patriots",10,78.2,405,1526,7.2,606,0.725,0.636,0.333
"Nick Mullens","Minnesota Vikings",5,74.7,235,1379,9.3,822,0.651,0.71,0.368
"Anthony Richardson","Indianapolis Colts",4,73.7,164,620,7.4,266,0.74,0.409,0.6
"Jimmy Garoppolo","Los Angeles Rams",7,73.1,312,1316,7.8,713,0.759,0.7,0.267
"Taylor Heinicke","Atlanta Falcons",5,70,265,1021,7.5,362,0.738,0.517,0.2
"Easton Stick","Los Angeles Chargers",5,68.6,306,1193,6.9,524,0.797,0.531,0.467
"Daniel Jones","New York Giants",6,63,314,1029,6.4,455,0.807,0.389,0.364
"Tyson Bagent","Chicago Bears",5,59.3,294,806,5.6,359,0.762,0.7,0.222
"Mitch Trubisky","Buffalo Bills",5,53.7,192,953,8.9,359,0.884,0.556,0.286
"Mason Rudolph","Tennessee Titans",4,39.6,197,489,6.6,275,0.854,0.455,0.444
"Drew Lock","New York Giants",4,32.1,140,616,8.1,222,0.82,0.6,0.3
"Trevor Siemian","",5,31,272,799,5.2,247,0.728,0.412,0.182
"Jarrett Stidham","Denver Broncos",3,27.6,130,474,7.2,168,0.721,0.667,0.571
"Carson Wentz","Kansas City Chiefs",2,27.1,66,150,6.3,98,0.667,0.75,1
"Dorian Thompson-Robinson","Cleveland Browns",8,26.1,206,620,5.5,235,0.779,0.565,0
"Tyler Huntley","Cleveland Browns",5,25.6,86,227,6.1,119,0.792,0.6,0
"P.J. Walker","Seattle Seahawks",6,25,232,834,7.5,275,0.71,0.333,0.4
"Sam Darnold","Minnesota Vikings",10,24.4,125,326,7.1,136,0.857,0.556,0.667
"Andy Dalton","Carolina Panthers",3,23.6,77,455,7.8,228,0.725,0.778,0.714
"Jacoby Brissett","New England Patriots",3,22.9,42,172,7.5,152,0.8,0.8,1
"C.J. Beathard","Jacksonville Jaguars",7,21.5,108,322,6.1,191,0.837,0.6,0.5
"Davis Mills","Houston Texans",6,17.8,52,291,7.5,95,0.731,0.625,0.333
"Jeff Driskel","Washington Commanders",1,15.9,53,246,9.5,107,0.667,0.6,0.25
"Jameis Winston","Cleveland Browns",7,15,73,578,12.3,175,0.84,0.636,0.125
"Tim Boyle","Houston Texans",3,14.9,119,425,5.5,165,0.689,0.5,0.5
"Marcus Mariota","Washington Commanders",3,12.8,44,154,6.7,88,0.529,1,0
"Case Keenum","Houston Texans",2,12.7,103,357,6.7,142,0.676,0.667,0
"Clayton Tune","Arizona Cardinals",7,9.5,57,67,3.2,21,0.813,0.333,0
"Blaine Gabbert","",2,8.9,78,187,5.3,63,0.792,0.6,0
"Brian Hoyer","",3,6.9,74,331,7.9,144,0.733,0.444,0.5
"Cooper Rush","Dallas Cowboys",7,4.3,66,199,8.3,62,0.882,0.5,0.4
"Brett Rypien","Chicago Bears",2,3.8,75,309,8.1,90,0.727,0.6,0.333
"Jaren Hall","Minnesota Vikings",3,3.1,46,132,6.6,69,0.786,1,0.667
"Mike White","Miami Dolphins",6,3.1,51,24,4,24,0.8,0,1
"Malik Willis","Tennessee Titans",3,3.1,18,38,7.6,18,1,1,0
"Sean Clifford","Green Bay Packers",2,1.3,13,32,32,32,0,0,1
"AJ McCarron","",2,0.8,16,-7,-1.4,0,0.8,0,0
"Logan Woodside","Cincinnati Bengals",1,0.7,10,6,1.5,-2,0.75,0,0