PLAYER,TEAM,G,FPTS,SNAPS,ATT,CMP,CMP%,YDS,Y/A,TD,INT
"Josh Allen","Buffalo Bills",17,410.6,1081,579,385,0.665,4306,7.4,29,18
"Jalen Hurts","Philadelphia Eagles",17,371.8,1069,538,352,0.654,3858,7.2,23,15
"Dak Prescott","Dallas Cowboys",17,351.8,1060,590,410,0.695,4516,7.7,36,9
"Lamar Jackson","Baltimore Ravens",16,338.2,992,457,307,0.672,3678,8,24,7
"Jordan Love","Green Bay Packers",17,330.1,1044,579,372,0.642,4159,7.2,32,11
"Brock Purdy","San Francisco 49ers",16,306.6,899,444,308,0.694,4280,9.6,31,11
"Jared Goff","Detroit Lions",17,303.1,1137,605,407,0.673,4575,7.6,30,12
"Patrick Mahomes","Kansas City Chiefs",16,294.2,1000,597,401,0.672,4183,7,27,14
"Tua Tagovailoa","Miami Dolphins",17,284.4,1004,560,388,0.693,4624,8.3,29,14
"Baker Mayfield","Tampa Bay Buccaneers",17,284.1,1048,566,364,0.643,4044,7.1,28,10
"C.J. Stroud","Houston Texans",15,281,934,499,319,0.639,4108,8.2,23,5
"Trevor Lawrence","Jacksonville Jaguars",16,278.5,1005,564,370,0.656,4016,7.1,21,14
"Sam Howell","Seattle Seahawks",17,276.5,1021,612,388,0.634,3946,6.4,21,21
"Russell Wilson","Pittsburgh Steelers",15,264.9,892,447,297,0.664,3070,6.9,26,8
"Matthew Stafford","Los Angeles Rams",15,254.1,959,521,326,0.626,3965,7.6,24,11
"Derek Carr","New Orleans Saints",17,249.1,952,548,375,0.684,3878,7.1,25,8
"Justin Herbert","Los Angeles Chargers",13,241.2,800,456,297,0.651,3134,6.9,20,7
"Justin Fields","Pittsburgh Steelers",13,237.2,803,370,227,0.614,2562,6.9,16,9
"Geno Smith","Seattle Seahawks",15,236.3,858,499,323,0.647,3624,7.3,20,9
"Joshua Dobbs","San Francisco 49ers",13,210.7,809,417,262,0.628,2464,5.9,13,10
"Gardner Minshew","Las Vegas Raiders",16,205.2,932,490,305,0.622,3305,6.7,15,9
"Desmond Ridder","Arizona Cardinals",15,187.1,822,388,249,0.642,2836,7.3,12,12
"Bryce Young","Carolina Panthers",16,166.4,1020,527,315,0.598,2877,5.5,11,10
"Kirk Cousins","Atlanta Falcons",8,158.7,486,311,216,0.695,2331,7.5,18,5
"Joe Burrow","Cincinnati Bengals",10,153.2,580,365,244,0.668,2309,6.3,15,6
"Kyler Murray","Arizona Cardinals",8,151.4,516,268,176,0.657,1799,6.7,10,5
"Jake Browning","Cincinnati Bengals",9,151.4,453,243,171,0.704,1936,8,12,7
"Aidan O'Connell","Las Vegas Raiders",11,132.8,627,343,213,0.621,2218,6.5,12,7
"Zach Wilson","Denver Broncos",12,126.9,660,368,221,0.601,2271,6.2,8,7
"Mac Jones","Jacksonville Jaguars",11,120.4,614,345,224,0.649,2120,6.1,10,12
"Kenny Pickett","Philadelphia Eagles",12,114.2,643,324,201,0.62,2070,6.4,6,4
"Joe Flacco","Indianapolis Colts",5,108.8,334,204,123,0.603,1616,7.9,13,8
"Will Levis","Tennessee Titans",9,108,507,255,149,0.584,1808,7.1,8,4
"Tommy DeVito","New York Giants",9,96.5,395,178,114,0.64,1101,6.2,8,3
"Deshaun Watson","Cleveland Browns",6,90.8,370,171,105,0.614,1115,6.5,7,4
"Tyrod Taylor","New York Jets",11,90.3,352,180,116,0.644,1341,7.5,5,3
"Ryan Tannehill","",10,87,477,230,149,0.648,1616,7,4,7
"Bailey Zappe","New England Patriots",10,78.2,405,212,127,0.599,1272,6,6,9
"Nick Mullens","Minnesota Vikings",5,74.7,235,148,100,0.676,1306,8.8,7,8
"Anthony Richardson","Indianapolis Colts",4,73.7,164,84,50,0.595,577,6.9,3,1
"Jimmy Garoppolo","Los Angeles Rams",7,73.1,312,169,110,0.651,1205,7.1,7,9
"Taylor Heinicke","Atlanta Falcons",5,70,265,136,74,0.544,890,6.5,5,4
"Easton Stick","Los Angeles Chargers",5,68.6,306,174,111,0.638,1129,6.5,3,1
"Daniel Jones","New York Giants",6,63,314,160,108,0.675,909,5.7,2,6
"Tyson Bagent","Chicago Bears",5,59.3,294,143,94,0.657,859,6,3,6
"Mitch Trubisky","Buffalo Bills",5,53.7,192,107,67,0.626,632,5.9,4,5
"Mason Rudolph","Tennessee Titans",4,39.6,197,74,55,0.743,719,9.7,3,0
"Drew Lock","New York Giants",4,32.1,140,76,48,0.632,543,7.1,3,3
"Trevor Siemian","",5,31,272,153,86,0.562,724,4.7,2,4
"Jarrett Stidham","Denver Broncos",3,27.6,130,66,40,0.606,496,7.5,2,1
"Carson Wentz","Kansas City Chiefs",2,27.1,66,24,17,0.708,163,6.8,2,1
"Dorian Thompson-Robinson","Cleveland Browns",8,26.1,206,112,60,0.536,440,3.9,1,4
"Tyler Huntley","Cleveland Browns",5,25.6,86,37,21,0.568,203,5.5,3,0
"P.J. Walker","Seattle Seahawks",6,25,232,111,54,0.486,674,6.1,1,5
"Sam Darnold","Minnesota Vikings",10,24.4,125,46,28,0.609,297,6.5,2,1
"Andy Dalton","Carolina Panthers",3,23.6,77,58,34,0.586,361,6.2,2,0
"Jacoby Brissett","New England Patriots",3,22.9,42,23,18,0.783,224,9.7,3,0
"C.J. Beathard","Jacksonville Jaguars",7,21.5,108,53,40,0.755,349,6.6,1,0
"Davis Mills","Houston Texans",6,17.8,52,39,18,0.462,173,4.4,2,0
"Jeff Driskel","Washington Commanders",1,15.9,53,26,13,0.5,166,6.4,2,2
"Jameis Winston","Cleveland Browns",7,15,73,47,25,0.532,264,5.6,2,3
"Tim Boyle","Houston Texans",3,14.9,119,77,48,0.623,360,4.7,1,4
"Marcus Mariota","Washington Commanders",3,12.8,44,23,15,0.652,164,7.1,1,1
"Case Keenum","Houston Texans",2,12.7,103,53,34,0.642,291,5.5,1,3
"Clayton Tune","Arizona Cardinals",7,9.5,57,21,12,0.571,62,3,0,2
"Blaine Gabbert","",2,8.9,78,35,18,0.514,185,5.3,0,3
"Brian Hoyer","",3,6.9,74,42,23,0.548,231,5.5,0,2
"Cooper Rush","Dallas Cowboys",7,4.3,66,24,18,0.75,144,6,0,1
"Brett Rypien","Chicago Bears",2,3.8,75,38,18,0.474,172,4.5,0,1
"Jaren Hall","Minnesota Vikings",3,3.1,46,20,13,0.65,168,8.4,0,1
"Mike White","Miami Dolphins",6,3.1,51,6,5,0.833,74,12.3,1,1
"Malik Willis","Tennessee Titans",3,3.1,18,5,4,0.8,74,14.8,0,0
"Sean Clifford","Green Bay Packers",2,1.3,13,1,1,1,37,37,0,0
"AJ McCarron","",2,0.8,16,5,4,0.8,19,3.8,0,0
"Logan Woodside","Cincinnati Bengals",1,0.7,10,4,3,0.75,27,6.8,0,1