PLAYER,TEAM,G,FPTS,SNAPS,TGT,REC,CATCH RATE,REC YDS,YPR,REC TD
"Christian McCaffrey","San Francisco 49ers",16,391.3,775,83,67,0.807,564,8.4,7
"Breece Hall","New York Jets",17,290.5,635,94,76,0.809,591,7.8,4
"Travis Etienne","Jacksonville Jaguars",17,282.4,821,73,58,0.795,476,8.2,1
"Rachaad White","Tampa Bay Buccaneers",17,267.9,827,70,64,0.914,549,8.6,3
"Raheem Mostert","Miami Dolphins",15,267.7,531,32,25,0.781,175,7,3
"Joe Mixon","Houston Texans",17,267,729,66,52,0.788,376,7.2,3
"Kyren Williams","Los Angeles Rams",12,255,660,48,32,0.667,206,6.4,3
"Derrick Henry","Baltimore Ravens",17,246.7,533,36,28,0.778,214,7.6,0
"Bijan Robinson","Atlanta Falcons",17,246.3,748,85,58,0.682,487,8.4,4
"Jahmyr Gibbs","Detroit Lions",15,242.1,573,72,52,0.722,316,6.1,1
"Alvin Kamara","New Orleans Saints",13,233,540,86,75,0.872,466,6.2,1
"James Cook","Buffalo Bills",17,232.7,610,54,44,0.815,445,10.1,4
"Saquon Barkley","Philadelphia Eagles",14,223.2,694,60,41,0.683,280,6.8,4
"Tony Pollard","Tennessee Titans",17,222.6,795,67,55,0.821,311,5.7,0
"Isiah Pacheco","Kansas City Chiefs",14,213.9,545,50,44,0.88,244,5.5,2
"Jerome Ford","Cleveland Browns",17,211.2,606,63,44,0.698,319,7.3,5
"David Montgomery","Detroit Lions",14,207.2,442,24,16,0.667,117,7.3,0
"James Conner","Arizona Cardinals",13,201.5,508,33,27,0.818,165,6.1,2
"Kenneth Walker III","Seattle Seahawks",15,199.4,477,38,29,0.763,259,8.9,1
"D'Andre Swift","Chicago Bears",16,199.3,611,49,39,0.796,214,5.5,1
"Brian Robinson Jr.","Washington Commanders",15,198.1,476,43,36,0.837,368,10.2,4
"Jaylen Warren","Pittsburgh Steelers",17,196.4,499,74,61,0.824,370,6.1,0
"Najee Harris","Pittsburgh Steelers",17,195.5,551,37,29,0.784,170,5.9,0
"De'Von Achane","Miami Dolphins",11,190.7,291,37,27,0.73,197,7.3,3
"Gus Edwards","Los Angeles Chargers",17,187,459,13,12,0.923,180,15,0
"Austin Ekeler","Washington Commanders",14,185.4,605,74,51,0.689,436,8.5,1
"Chuba Hubbard","Carolina Panthers",17,182.5,687,44,39,0.886,233,6,0
"Josh Jacobs","Green Bay Packers",13,181.1,579,55,37,0.673,296,8,0
"Javonte Williams","Denver Broncos",16,179.2,472,58,47,0.81,228,4.9,2
"Ezekiel Elliott","Dallas Cowboys",17,174.5,524,65,51,0.785,313,6.1,3
"Zack Moss","Cincinnati Bengals",14,169.6,508,37,27,0.73,192,7.1,2
"Devin Singletary","New York Giants",17,167.3,600,39,30,0.769,193,6.4,0
"Jonathan Taylor","Indianapolis Colts",10,156.4,371,23,19,0.826,153,8.1,1
"Tyjae Spears","Tennessee Titans",17,153.8,529,70,52,0.743,385,7.4,1
"Rhamondre Stevenson","New England Patriots",12,145.7,472,51,38,0.745,238,6.3,0
"Tyler Allgeier","Atlanta Falcons",17,137.6,355,23,18,0.783,193,10.7,1
"Aaron Jones","Minnesota Vikings",11,134.9,343,43,30,0.698,233,7.8,1
"Alexander Mattison","Las Vegas Raiders",16,133.2,553,44,30,0.682,192,6.4,3
"Antonio Gibson","New England Patriots",16,127.4,456,59,48,0.814,389,8.1,2
"Samaje Perine","Denver Broncos",17,123.3,365,56,50,0.893,455,9.1,0
"Kareem Hunt","",15,118.5,326,20,15,0.75,84,5.6,0
"A.J. Dillon","Green Bay Packers",15,117.6,474,28,22,0.786,223,10.1,0
"Khalil Herbert","Chicago Bears",12,112.5,347,31,20,0.645,134,6.7,1
"Justice Hill","Baltimore Ravens",16,109.3,437,39,28,0.718,206,7.4,1
"Zach Charbonnet","Seattle Seahawks",16,106.1,481,40,33,0.825,209,6.3,0
"Jaleel McLaughlin","Denver Broncos",17,106,254,36,31,0.861,160,5.2,2
"Roschon Johnson","Chicago Bears",15,102.1,446,41,34,0.829,209,6.1,0
"Ty Chandler","Minnesota Vikings",16,101,358,25,21,0.84,159,7.6,0
"Kenneth Gainwell","Philadelphia Eagles",16,97.4,465,37,30,0.811,183,6.1,0
"Rico Dowdle","Dallas Cowboys",16,91.5,283,22,17,0.773,144,8.5,2
"D'Onta Foreman","Cleveland Browns",9,91.2,259,16,11,0.688,77,7,1
"Miles Sanders","Carolina Panthers",16,87.6,387,42,27,0.643,154,5.7,0
"Jerick McKinnon","",12,84.4,308,32,25,0.781,192,7.7,5
"Latavius Murray","",16,82.9,339,22,17,0.773,119,7,0
"Dameon Pierce","Houston Texans",13,76.7,289,17,13,0.765,101,7.8,0
"Zamir White","Las Vegas Raiders",17,73.9,294,19,15,0.789,98,6.5,0
"Emari Demercado","Arizona Cardinals",14,73.3,284,30,21,0.7,119,5.7,0
"Clyde Edwards-Helaire","Kansas City Chiefs",15,70.1,219,22,17,0.773,188,11.1,1
"Keaton Mitchell","Baltimore Ravens",8,69.9,153,11,9,0.818,93,10.3,0
"Joshua Kelley","",17,61.7,386,12,8,0.667,32,4,0
"Jamaal Williams","New Orleans Saints",13,60.8,317,21,18,0.857,62,3.4,0
"Michael Carter","Arizona Cardinals",15,58.8,214,31,24,0.774,101,4.2,1
"Chase Brown","Cincinnati Bengals",12,53.5,152,15,14,0.933,156,11.1,1
"Elijah Mitchell","San Francisco 49ers",11,47.5,158,8,6,0.75,14,2.3,0
"Matt Breida","",17,46.9,321,21,17,0.81,88,5.2,0
"Cam Akers","",7,46.7,131,12,11,0.917,70,6.4,0
"Royce Freeman","Dallas Cowboys",14,46.2,290,2,1,0.5,13,13,0
"Jordan Mason","San Francisco 49ers",17,44.7,222,4,3,0.75,31,10.3,0
"Darrell Henderson Jr","",4,43.5,121,14,10,0.714,103,10.3,0
"Kendre Miller","New Orleans Saints",8,43.3,111,11,10,0.909,117,11.7,0
"Salvon Ahmed","Miami Dolphins",8,42.9,157,23,16,0.696,88,5.5,1
"Pierre Strong Jr.","Cleveland Browns",17,42.8,301,8,5,0.625,47,9.4,0
"Jeff Wilson Jr.","Miami Dolphins",10,41.3,145,17,14,0.824,85,6.1,0
"Ameer Abdullah","Las Vegas Raiders",17,41,355,24,19,0.792,131,6.9,0
"Dalvin Cook","",15,40.2,195,20,15,0.75,78,5.2,0
"Chase Edmonds","Tampa Bay Buccaneers",13,39.7,220,17,14,0.824,81,5.8,0
"Kyle Juszczyk","San Francisco 49ers",17,38.5,482,17,14,0.824,119,8.5,2
"Chris Rodriguez Jr.","Washington Commanders",13,37.9,172,2,2,1,12,6,0
"Cordarrelle Patterson","Pittsburgh Steelers",14,36.9,172,12,9,0.75,38,4.2,1
"D'Ernest Johnson","Jacksonville Jaguars",17,34.8,255,12,10,0.833,140,14,0
"Andrew Beck","Houston Texans",15,32.8,418,13,11,0.846,55,5,2
"Ty Johnson","Buffalo Bills",10,32.4,104,7,7,1,62,8.9,1
"Tony Jones Jr.","Arizona Cardinals",7,32.2,126,10,7,0.7,37,5.3,0
"Craig Reynolds","Detroit Lions",17,31.6,244,5,5,1,47,9.4,0
"Patrick Taylor","San Francisco 49ers",11,30,278,17,11,0.647,49,4.5,0
"Darrynton Evans","Buffalo Bills",7,30,106,12,7,0.583,49,7,0
"Alec Ingold","Miami Dolphins",17,24.9,449,16,13,0.813,119,9.2,0
"Tank Bigsby","Jacksonville Jaguars",16,24.8,134,5,1,0.2,6,6,0
"Nick Chubb","Cleveland Browns",2,23.1,52,4,4,1,21,5.3,0
"Kevin Harris","New England Patriots",4,21.3,34,3,3,1,58,19.3,0
"Trey Sermon","Indianapolis Colts",12,20.3,101,6,3,0.5,13,4.3,0
"Ronnie Rivers","Los Angeles Rams",9,20.1,131,5,5,1,22,4.4,0
"Melvin Gordon III","",4,19.7,55,3,3,1,46,15.3,0
"Isaiah Spiller","Los Angeles Chargers",9,19,106,6,6,1,34,5.7,0
"Damien Harris","",6,19,60,2,2,1,16,8,0
"Israel Abanikanda","New York Jets",6,18.3,75,11,7,0.636,43,6.1,0
"Tyler Goodson","Indianapolis Colts",6,18.1,49,9,6,0.667,34,5.7,0
"Boston Scott","Los Angeles Rams",15,17.8,140,6,4,0.667,52,13,0
"Raheem Blackshear","Carolina Panthers",11,17.1,56,7,6,0.857,45,7.5,0
"Deuce Vaughn","Dallas Cowboys",6,15,67,7,7,1,40,5.7,0
"Trayveon Williams","Cincinnati Bengals",17,14.9,308,9,7,0.778,10,1.4,0
"Emanuel Wilson","",7,14.8,33,5,4,0.8,23,5.8,0
"Keaontay Ingram","Kansas City Chiefs",8,14,111,4,4,1,26,6.5,0
"La'Mical Perine","Pittsburgh Steelers",5,14,97,5,3,0.6,33,11,0
"Mike Boone","Carolina Panthers",9,13.3,120,9,7,0.778,40,5.7,0
"Eric Gray","New York Giants",9,13,73,7,6,0.857,22,3.7,0
"Hunter Luepke","Dallas Cowboys",17,12.7,293,4,3,0.75,18,6,0
"DeeJay Dallas","Arizona Cardinals",17,12.2,221,9,6,0.667,26,4.3,0
"J.K. Dobbins","Los Angeles Chargers",1,11.7,28,3,2,0.667,15,7.5,0
"Gary Brightwell","",7,11.6,90,7,5,0.714,47,9.4,0
"Nick Bawden","New York Jets",16,11.5,275,3,3,1,21,7,0
"Brandon Bolden","",17,11.1,158,0,0,0,0,0,0
"Chris Brooks","Miami Dolphins",7,10.6,74,0,0,0,0,0,0
"C.J. Ham","Minnesota Vikings",17,10.2,348,10,7,0.7,25,3.6,0
"Ty Montgomery II","",13,9.9,147,12,5,0.417,40,8,0
"Damien Williams","",3,7.5,27,2,2,1,12,6,0
"Dare Ogunbowale","Houston Texans",12,7.3,224,7,2,0.286,18,9,0
"Michael Burton","Denver Broncos",17,6.7,340,3,3,1,8,2.7,0
"Ke'Shawn Vaughn","",6,6.4,61,5,2,0.4,2,1,0
"Khari Blasingame","Chicago Bears",16,5.8,277,6,3,0.5,2,0.7,0
"Sean Tucker","Tampa Bay Buccaneers",7,5.2,53,2,2,1,9,4.5,0
"Rashaad Penny","Carolina Panthers",3,4.8,30,1,1,1,5,5,0
"Jashaun Corbin","New York Giants",6,4.3,84,3,3,1,12,4,0
"Deon Jackson","",2,4,53,6,5,0.833,14,2.8,0
"Leonard Fournette","",2,4,26,0,0,0,0,0,0
"Elijah Dotson","Los Angeles Chargers",4,3.9,15,2,2,1,13,6.5,0
"Jake Funk","Detroit Lions",2,3.2,14,1,1,1,12,12,0
"Zonovan Knight","Detroit Lions",2,3.1,18,1,1,1,8,8,0
"Kenyan Drake","",3,3.1,16,3,2,0.667,31,15.5,0
"Derrick Gore","",6,2.6,64,0,0,0,0,0,0
"Adam Prentice","New Orleans Saints",13,2.4,187,3,2,0.667,12,6,0
"Devine Ozigbo","",3,2.3,13,1,1,1,8,8,0
"Chris Evans","Cincinnati Bengals",8,2.1,92,1,1,1,-1,-1,0
"Zach Evans","Los Angeles Rams",8,1.9,42,0,0,0,0,0,0
"Kene Nwangwu","Minnesota Vikings",8,1.3,55,0,0,0,0,0,0
"Jonathan Ward","Pittsburgh Steelers",8,1.1,46,0,0,0,0,0,0
"Jason Cabinda","",4,0,75,0,0,0,0,0,0
"Jonathan Williams","",1,-0.2,21,1,0,0,0,0,0